./exvr_fetcher exvr_fetcher.cfg
Log_Util::load_log_masks(): All Modules: ods_utils, vrspider, platform, ods_utils_util
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] [ConfigManager::loadOptions] FetchTaskNum: 8
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] [ConfigManager::loadOptions] MysqlHandleNum: 1
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] [ConfigManager::loadOptions] OnlineTaskNum: 3
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] [ConfigManager::loadOptions] UrlupdateTaskNum: 8
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] [ConfigManager::loadOptions] WriteTaskNum: 6
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] [ConfigManager::loadOptions] updateDeleteNum: 6
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] [ConfigManager::loadOptions] load UrlTransformServers is ok: 10.12.141.66:9096
[vrspider:LM_INFO] [20170124 16:14:31] [cf76e860] [CWriteTask::open ]load vr_resource configiguration: 10.139.22.134 root root open_data
[vrspider:LM_INFO] [20170124 16:14:31] [cf76e860] [CWriteTask::open]load vr_info configiguration: 10.139.22.134 root root ubs_spider
[vrspider:LM_INFO] [20170124 16:14:31] [cf76e860] [CWriteTask::open]load cr_info configiguration: 10.139.22.134 root root external
[vrspider:LM_INFO] [20170124 16:14:31] [cf76e860] cycy spider_type:5 res_priority:0
[vrspider:LM_INFO] [20170124 16:14:31] [cf76e860] [CWriteTask::open ]load ValidateCount configiguration: data/base/schemaFileXX.xsd data/base/lengthFileX
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] [load_location] list data/location.dat begin
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒˰▒▒▒ 232700
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒Ϻ▒ 310000[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒ 320000[vrspider:LM] [20170124 16:14:31] [cf76e860] location ▒▒▒▒  ▒Ͼ▒ 320100
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 320200
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 320300
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 320400
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 320500
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒ͨ 320600
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒Ƹ▒ 320700
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 320800
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒γ▒ 320900
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 321000
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒ 321100
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ̩▒▒ 321200
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒Ǩ 321300
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒㽭 330000[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒㽭   ▒▒▒▒ 330100
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒㽭 ▒▒▒▒ 330200
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒㽭 ▒▒▒▒ 330300
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒㽭 ▒▒▒▒ 330400
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒㽭 ▒▒▒▒ 330500
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒㽭 ▒▒▒▒ 330600
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒㽭 ▒▒ 330700
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒㽭 ▒▒▒▒ 330800
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒㽭 ▒▒ɽ 330900
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒㽭 ̨▒▒ 331000
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒㽭 ▒▒ˮ 331100
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒ 340000[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒ ▒Ϸ▒ 340100
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒ߺ▒ 340200
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒ 340300
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 340400
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒ɽ 340500
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 340600
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ͭ▒▒ 340700
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 340800
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒ɽ 341000
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 341100
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 341200
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 341300
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 341400
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒ 341500
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 341600
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 341700
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒ 341800
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒ 350000[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒ ▒▒▒▒ 350100
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 350200
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 350300
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 350400
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        Ȫ▒▒ 350500
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 350600
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒ƽ 350700
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 350800
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 350900
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒ 360000[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒ ▒ϲ▒ 360100
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒▒▒ 360200
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        Ƽ▒▒ 360300
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒Ž▒ 360400
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 360500
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ӥ̶ 360600
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 360700
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 360800
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒˴▒ 360900
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 361000
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ▒▒▒▒        ▒▒▒▒ 361100
[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒ 370000[vrspider:LM_TRACE] [20170124 16:14:31] [cf76e860] location ɽ▒▒   ▒▒▒▒ 370100
